customerID,MonthlyCharges,tenure,contract,InternetService,churn,risk_score,category,Cluster
0327-WFZSY,100.0,39,One year,Fiber optic,No,55,Medium,0
0328-GRPMV,70.1,1,Month-to-month,Fiber optic,Yes,90,High,0
0329-GTIAJ,97.9,3,Month-to-month,Fiber optic,Yes,95,High,0
0330-BGYZE,102.5,60,One year,Fiber optic,No,55,Medium,0
0330-IVZHA,69.95,5,Month-to-month,Fiber optic,Yes,90,High,0
0334-GDDSO,81.35,3,Month-to-month,Fiber optic,Yes,90,High,0
0337-CNPZE,106.3,41,Month-to-month,Fiber optic,Yes,70,Medium,0
0345-HKJVM,89.3,6,Month-to-month,Fiber optic,Yes,100,High,0
0348-SDKOL,102.1,58,Month-to-month,Fiber optic,Yes,65,Medium,0
0354-WYROK,98.9,31,Month-to-month,Fiber optic,Yes,65,Medium,0
0362-ZBZWJ,84.9,36,Month-to-month,Fiber optic,Yes,60,Medium,0
0363-QJVFX,108.15,32,Month-to-month,Fiber optic,Yes,60,Medium,0
0365-BZUWY,102.55,17,Month-to-month,Fiber optic,No,80,High,0
0365-GXEZS,78.2,18,Month-to-month,Fiber optic,No,65,Medium,0
0365-TRTPY,91.2,37,Month-to-month,Fiber optic,No,65,Medium,0
0369-ZGOVK,70.4,28,One year,Fiber optic,No,45,Medium,0
0376-OIWME,93.6,36,Month-to-month,Fiber optic,No,65,Medium,0
0376-YMCJC,90.6,23,Month-to-month,Fiber optic,Yes,75,Medium,0
0378-NHQXU,88.25,17,Month-to-month,Fiber optic,Yes,80,High,0
0378-TOVMS,85.8,3,Month-to-month,Fiber optic,Yes,95,High,0
0380-NEAVX,99.85,34,One year,Fiber optic,No,55,Medium,0
0388-EOPEX,74.4,2,Month-to-month,Fiber optic,Yes,85,High,0
0390-DCFDQ,70.45,1,Month-to-month,Fiber optic,Yes,90,High,0
0396-YCHWO,95.4,36,Month-to-month,Fiber optic,No,70,Medium,0
0397-GZBBC,93.85,59,Month-to-month,Fiber optic,Yes,70,Medium,0
0402-CQAJN,101.9,37,Month-to-month,Fiber optic,Yes,70,Medium,0
0404-SWRVG,74.4,3,Month-to-month,Fiber optic,Yes,90,High,0
0406-BPDVR,101.5,54,One year,Fiber optic,Yes,55,Medium,0
0407-BDJKB,95.75,60,Month-to-month,Fiber optic,Yes,70,Medium,0
0409-WTMPL,110.65,58,One year,Fiber optic,No,50,Medium,0
0410-IPFTY,83.85,31,Month-to-month,Fiber optic,No,60,Medium,0
0419-YAAPX,85.3,49,Month-to-month,Fiber optic,No,70,Medium,0
0420-HLGXF,99.75,39,Month-to-month,Fiber optic,No,70,Medium,0
0422-UXFAP,98.85,51,One year,Fiber optic,No,55,Medium,0
0428-IKYCP,87.0,22,Month-to-month,Fiber optic,No,80,High,0
0431-APWVY,90.1,28,One year,Fiber optic,Yes,55,Medium,0
0432-CAJZV,90.7,3,Month-to-month,Fiber optic,No,100,High,0
0434-CSFON,100.5,47,Month-to-month,Fiber optic,No,70,Medium,0
0439-IFYUN,74.7,18,Month-to-month,Fiber optic,No,70,Medium,0
0440-UEDAI,94.45,53,One year,Fiber optic,No,50,Medium,0
0442-ZXKVS,115.6,54,One year,Fiber optic,No,45,Medium,0
0447-RXSGD,99.65,24,Month-to-month,Fiber optic,No,80,High,0
0455-XFASS,69.55,3,Month-to-month,Fiber optic,No,90,High,0
0461-CVKMU,83.8,23,Month-to-month,Fiber optic,Yes,65,Medium,0
0468-YRPXN,98.8,29,Month-to-month,Fiber optic,No,65,Medium,0
0471-ARVMX,104.85,62,One year,Fiber optic,No,50,Medium,0
0475-RIJEP,77.85,43,Month-to-month,Fiber optic,Yes,60,Medium,0
0480-BIXDE,96.8,19,Month-to-month,Fiber optic,No,80,High,0
0481-SUMCB,102.15,45,One year,Fiber optic,No,55,Medium,0
0486-HECZI,96.75,55,Month-to-month,Fiber optic,Yes,65,Medium,0
0487-RPVUM,99.4,61,Month-to-month,Fiber optic,No,60,Medium,0
0488-GSLFR,69.5,1,Month-to-month,Fiber optic,Yes,90,High,0
0491-KAPQG,73.7,21,Month-to-month,Fiber optic,No,70,Medium,0
0495-RVCBF,79.7,1,Month-to-month,Fiber optic,Yes,90,High,0
0495-ZBNGW,79.9,5,Month-to-month,Fiber optic,Yes,90,High,0
0504-HHAPI,88.3,27,Month-to-month,Fiber optic,Yes,70,Medium,0
0506-LVNGN,75.55,5,Month-to-month,Fiber optic,Yes,90,High,0
0508-OOLTO,71.65,2,Month-to-month,Fiber optic,No,90,High,0
0511-JTEOY,71.1,1,Month-to-month,Fiber optic,Yes,90,High,0
0512-FLFDW,100.5,60,One year,Fiber optic,No,55,Medium,0
0515-YPMCW,70.45,1,Month-to-month,Fiber optic,Yes,90,High,0
0516-OOHAR,100.35,28,One year,Fiber optic,No,55,Medium,0
0516-UXRMT,92.05,62,One year,Fiber optic,No,50,Medium,0
0519-XUZJU,70.75,1,Month-to-month,Fiber optic,Yes,90,High,0
0520-FDVVT,102.35,35,One year,Fiber optic,Yes,55,Medium,0
0524-IAVZO,85.0,30,Month-to-month,Fiber optic,Yes,60,Medium,0
0529-ONKER,75.65,15,Month-to-month,Fiber optic,Yes,70,Medium,0
0531-ZZJWQ,74.0,55,Month-to-month,Fiber optic,No,60,Medium,0
0533-BNWKF,85.45,55,Month-to-month,Fiber optic,Yes,70,Medium,0
0537-QYZZN,79.85,24,Month-to-month,Fiber optic,No,65,Medium,0
0549-CYCQN,79.6,51,One year,Fiber optic,No,45,Medium,0
0564-JJHGS,95.5,9,Month-to-month,Fiber optic,Yes,90,High,0
0564-MUUQK,95.5,20,Month-to-month,Fiber optic,No,75,Medium,0
0565-JUPYD,104.5,63,One year,Fiber optic,No,45,Medium,0
0570-BFQHT,80.55,9,Month-to-month,Fiber optic,No,80,High,0
0575-CUQOV,97.95,60,One year,Fiber optic,No,55,Medium,0
0576-WNXXC,95.55,27,Month-to-month,Fiber optic,Yes,70,Medium,0
0577-WHMEV,90.7,16,Month-to-month,Fiber optic,No,75,Medium,0
0578-SKVMF,83.3,22,Month-to-month,Fiber optic,Yes,70,Medium,0
0580-PIQHM,101.6,41,One year,Fiber optic,No,50,Medium,0
0581-BXBUB,72.75,4,Month-to-month,Fiber optic,No,90,High,0
0581-MDMPW,88.95,24,Month-to-month,Fiber optic,No,80,High,0
0585-EGDDA,80.0,40,Month-to-month,Fiber optic,No,60,Medium,0
0595-ITUDF,91.8,64,Month-to-month,Fiber optic,No,65,Medium,0
0596-BQCEQ,100.15,62,Month-to-month,Fiber optic,Yes,70,Medium,0
0599-XNYDO,69.8,20,Month-to-month,Fiber optic,No,70,Medium,0
0611-DFXKO,89.0,20,Month-to-month,Fiber optic,Yes,80,High,0
0617-FHSGK,75.2,49,Month-to-month,Fiber optic,Yes,60,Medium,0
0618-XWMSS,74.9,28,Month-to-month,Fiber optic,Yes,55,Medium,0
0620-DLSLK,81.9,13,Month-to-month,Fiber optic,No,70,Medium,0
0621-HJWXJ,81.55,63,Month-to-month,Fiber optic,No,60,Medium,0
0623-EJQEG,93.55,65,One year,Fiber optic,No,45,Medium,0
0634-SZPQA,90.05,23,Month-to-month,Fiber optic,Yes,75,Medium,0
0637-KVDLV,76.5,2,Month-to-month,Fiber optic,Yes,90,High,0
0637-UBJRP,84.05,13,Month-to-month,Fiber optic,Yes,65,Medium,0
0637-YLETY,95.6,16,Month-to-month,Fiber optic,Yes,80,High,0
0639-TSIQW,102.95,67,Month-to-month,Fiber optic,Yes,65,Medium,0
0641-EVBOJ,82.3,3,Month-to-month,Fiber optic,No,80,High,0
0643-OKLRP,80.35,47,Month-to-month,Fiber optic,Yes,55,Medium,0
0644-OQMDK,70.65,4,Month-to-month,Fiber optic,No,90,High,0
0650-BWOZN,73.55,18,Month-to-month,Fiber optic,No,70,Medium,0
0654-HMSHN,104.4,21,Month-to-month,Fiber optic,Yes,80,High,0
0655-RBDUG,98.05,7,Month-to-month,Fiber optic,Yes,90,High,0
0666-UXTJO,85.2,34,Month-to-month,Fiber optic,No,70,Medium,0
0670-ANMUU,97.65,71,One year,Fiber optic,No,45,Medium,0
0674-DGMAQ,93.5,32,Month-to-month,Fiber optic,No,70,Medium,0
0679-IDSTG,69.25,1,Month-to-month,Fiber optic,Yes,90,High,0
0680-DFNNY,101.1,15,Month-to-month,Fiber optic,Yes,80,High,0
0682-USIXD,86.05,21,Month-to-month,Fiber optic,No,75,Medium,0
0684-AOSIH,95.0,1,Month-to-month,Fiber optic,Yes,95,High,0
0685-MLYYM,70.75,2,Month-to-month,Fiber optic,Yes,90,High,0
0689-DSXGL,85.8,52,Month-to-month,Fiber optic,No,65,Medium,0
0689-NKYLF,83.2,13,Month-to-month,Fiber optic,Yes,70,Medium,0
0691-IFBQW,110.0,46,One year,Fiber optic,Yes,50,Medium,0
0691-JVSYA,94.85,53,One year,Fiber optic,Yes,55,Medium,0
0691-NIKRI,105.95,40,One year,Fiber optic,No,50,Medium,0
0697-ZMSWS,85.65,4,Month-to-month,Fiber optic,Yes,100,High,0
0701-RFGFI,95.4,49,Month-to-month,Fiber optic,No,70,Medium,0
0702-PGIBZ,101.7,4,Month-to-month,Fiber optic,Yes,100,High,0
0709-TVGUR,74.55,9,Month-to-month,Fiber optic,Yes,80,High,0
0722-SVSFK,100.4,7,Month-to-month,Fiber optic,No,85,High,0
0722-TROQR,74.9,4,Month-to-month,Fiber optic,Yes,90,High,0
0723-DRCLG,74.45,1,Month-to-month,Fiber optic,Yes,90,High,0
0727-BMPLR,100.0,55,One year,Fiber optic,Yes,55,Medium,0
0727-IWKVK,79.9,9,Month-to-month,Fiber optic,Yes,80,High,0
0730-KOAVE,94.3,30,Month-to-month,Fiber optic,No,65,Medium,0
0742-NXBGR,82.3,1,Month-to-month,Fiber optic,Yes,90,High,0
0744-GKNGE,86.8,64,Month-to-month,Fiber optic,No,60,Medium,0
0748-RDGGM,109.5,70,One year,Fiber optic,Yes,45,Medium,0
0750-EBAIU,91.25,52,One year,Fiber optic,No,50,Medium,0
0754-UKWQP,95.85,2,Month-to-month,Fiber optic,Yes,100,High,0
0771-WLCLA,112.95,16,Month-to-month,Fiber optic,No,70,Medium,0
0772-GYEQQ,88.35,3,Month-to-month,Fiber optic,Yes,95,High,0
0781-LKXBR,100.5,9,Month-to-month,Fiber optic,Yes,90,High,0
0786-IVLAW,108.1,66,One year,Fiber optic,No,55,Medium,0
0793-TWELN,80.15,4,Month-to-month,Fiber optic,No,85,High,0
0795-GMVQO,109.9,67,One year,Fiber optic,No,50,Medium,0
0812-WUPTB,70.85,1,Month-to-month,Fiber optic,Yes,90,High,0
0818-OCPZO,81.45,27,Month-to-month,Fiber optic,Yes,60,Medium,0
0824-VWDPO,96.75,45,One year,Fiber optic,No,50,Medium,0
0829-XXPLX,89.4,20,Month-to-month,Fiber optic,No,75,Medium,0
0840-DFEZH,75.35,7,Month-to-month,Fiber optic,No,80,High,0
0843-WTBXE,85.45,53,Month-to-month,Fiber optic,Yes,70,Medium,0
0848-ZGQIJ,94.65,16,Month-to-month,Fiber optic,No,80,High,0
0853-NWIFK,100.3,45,One year,Fiber optic,No,50,Medium,0
0864-FVJNJ,113.35,64,One year,Fiber optic,No,45,Medium,0
0867-MKZVY,82.4,20,Month-to-month,Fiber optic,Yes,65,Medium,0
0869-PAPRP,85.7,26,Month-to-month,Fiber optic,No,70,Medium,0
0871-URUWO,102.25,13,Month-to-month,Fiber optic,Yes,80,High,0
0872-NXJYS,79.55,9,Month-to-month,Fiber optic,Yes,80,High,0
0875-CABNR,84.6,10,Month-to-month,Fiber optic,Yes,80,High,0
0876-WDUUZ,85.4,5,Month-to-month,Fiber optic,Yes,95,High,0
0877-SDMBN,103.95,54,One year,Fiber optic,Yes,50,Medium,0
0880-FVFWF,86.4,56,Month-to-month,Fiber optic,No,65,Medium,0
0880-TKATG,101.15,4,Month-to-month,Fiber optic,Yes,100,High,0
0886-QGENL,101.25,27,Month-to-month,Fiber optic,Yes,65,Medium,0
0887-WBJVH,93.45,53,One year,Fiber optic,No,50,Medium,0
0895-DQHEW,104.3,54,Month-to-month,Fiber optic,Yes,70,Medium,0
0897-FEGMU,99.5,11,Month-to-month,Fiber optic,Yes,90,High,0
0898-XCGTF,96.5,61,One year,Fiber optic,No,55,Medium,0
0899-LIIBW,100.85,34,Month-to-month,Fiber optic,No,70,Medium,0
0899-WZRSD,105.35,56,Month-to-month,Fiber optic,No,60,Medium,0
0913-XWSCN,85.5,55,Month-to-month,Fiber optic,No,70,Medium,0
0916-QOFDP,95.8,14,Month-to-month,Fiber optic,No,80,High,0
0921-OHLVP,83.05,22,Month-to-month,Fiber optic,No,70,Medium,0
0923-PNFUB,83.75,3,Month-to-month,Fiber optic,Yes,90,High,0
0924-BJCRC,89.45,60,Month-to-month,Fiber optic,No,70,Medium,0
0925-VYDLG,75.25,3,Month-to-month,Fiber optic,Yes,90,High,0
0927-LCSMG,74.65,7,Month-to-month,Fiber optic,Yes,80,High,0
0928-XUTSN,80.5,13,Month-to-month,Fiber optic,No,70,Medium,0
0929-PECLO,89.6,63,Month-to-month,Fiber optic,No,70,Medium,0
0931-MHTEM,100.05,54,One year,Fiber optic,No,50,Medium,0
0939-YAPAF,100.25,35,Month-to-month,Fiber optic,Yes,70,Medium,0
0940-OUQEC,80.7,10,Month-to-month,Fiber optic,Yes,80,High,0
0943-ZQPXH,92.95,44,Month-to-month,Fiber optic,No,70,Medium,0
0946-CLJTI,98.7,58,Month-to-month,Fiber optic,Yes,70,Medium,0
0947-IDHRQ,80.3,7,Month-to-month,Fiber optic,Yes,80,High,0
0947-MUGVO,73.65,20,Month-to-month,Fiber optic,Yes,70,Medium,0
0952-KMEEH,98.15,13,Month-to-month,Fiber optic,Yes,75,Medium,0
0956-ACVZC,94.1,54,One year,Fiber optic,No,55,Medium,0
0958-YHXGP,69.9,7,Month-to-month,Fiber optic,No,80,High,0
0959-WHOKV,99.0,42,One year,Fiber optic,No,50,Medium,0
0961-ZWLVI,109.2,49,One year,Fiber optic,No,50,Medium,0
0963-ZBDRN,96.2,32,Month-to-month,Fiber optic,Yes,65,Medium,0
0968-GSIKN,70.8,1,Month-to-month,Fiber optic,Yes,90,High,0
0970-ETWGE,89.55,1,Month-to-month,Fiber optic,Yes,100,High,0
0979-PHULV,99.45,69,Month-to-month,Fiber optic,Yes,70,Medium,0
1004-NOZNR,94.8,56,One year,Fiber optic,No,50,Medium,0
1010-DIAUQ,96.5,5,Month-to-month,Fiber optic,Yes,100,High,0
1013-QCWAM,100.8,66,Month-to-month,Fiber optic,No,70,Medium,0
1016-DJTSV,69.7,8,Month-to-month,Fiber optic,No,80,High,0
1017-FBQMM,106.05,62,One year,Fiber optic,No,50,Medium,0
1020-JPQOW,90.55,56,Month-to-month,Fiber optic,No,65,Medium,0
1024-KPRBB,89.1,38,One year,Fiber optic,No,55,Medium,0
1024-VRZHF,74.95,11,Month-to-month,Fiber optic,Yes,80,High,0
1025-FALIX,69.05,26,Month-to-month,Fiber optic,No,60,Medium,0
1028-FFNJK,101.5,30,Month-to-month,Fiber optic,No,65,Medium,0
1031-IIDEO,70.85,1,Month-to-month,Fiber optic,Yes,90,High,0
1035-IPQPU,103.5,63,Month-to-month,Fiber optic,No,70,Medium,0
1041-RXHRA,70.25,41,Month-to-month,Fiber optic,Yes,60,Medium,0
1047-NNCBF,70.55,20,Month-to-month,Fiber optic,No,70,Medium,0
1060-ENTOF,105.4,67,One year,Fiber optic,No,45,Medium,0
1061-PNTHC,109.6,56,Month-to-month,Fiber optic,No,60,Medium,0
1062-LHZOD,69.9,1,Month-to-month,Fiber optic,Yes,90,High,0
1069-XAIEM,85.05,1,Month-to-month,Fiber optic,Yes,100,High,0
1074-AMIOH,108.25,53,Month-to-month,Fiber optic,No,65,Medium,0
1075-BGWOH,98.75,16,Month-to-month,Fiber optic,Yes,80,High,0
1077-HUUJM,71.05,7,Month-to-month,Fiber optic,No,80,High,0
1084-UQCHV,69.75,1,Month-to-month,Fiber optic,Yes,90,High,0
1086-LXKFY,69.1,1,Month-to-month,Fiber optic,Yes,90,High,0
1090-PYKCI,105.1,69,One year,Fiber optic,No,45,Medium,0
1091-SOZGA,99.8,56,One year,Fiber optic,No,55,Medium,0
1092-GANHU,76.65,17,Month-to-month,Fiber optic,Yes,70,Medium,0
1095-JUDTC,95.05,47,Month-to-month,Fiber optic,Yes,65,Medium,0
1096-ADRUX,74.25,66,One year,Fiber optic,No,45,Medium,0
1104-TNLZA,105.8,28,Month-to-month,Fiber optic,No,65,Medium,0
1110-KYLGQ,108.25,63,Month-to-month,Fiber optic,No,65,Medium,0
1112-CUNAO,89.85,15,Month-to-month,Fiber optic,Yes,80,High,0
1113-IUJYX,105.95,14,One year,Fiber optic,Yes,55,Medium,0
1122-JWTJW,70.65,1,Month-to-month,Fiber optic,Yes,90,High,0
1131-SUEKT,98.45,61,One year,Fiber optic,No,50,Medium,0
1135-HIORI,111.45,64,One year,Fiber optic,No,50,Medium,0
1142-IHLOO,87.55,51,One year,Fiber optic,No,55,Medium,0
1143-NMNQJ,85.7,2,Month-to-month,Fiber optic,Yes,100,High,0
1150-FTQGN,94.15,60,One year,Fiber optic,No,50,Medium,0
1157-BQCUW,74.95,1,Month-to-month,Fiber optic,Yes,90,High,0
1169-SAOCL,106.65,49,One year,Fiber optic,No,50,Medium,0
1169-WCVAK,88.8,19,Month-to-month,Fiber optic,No,70,Medium,0
1170-SASML,85.4,69,Month-to-month,Fiber optic,No,70,Medium,0
1173-NOEYG,90.15,27,Month-to-month,Fiber optic,No,70,Medium,0
1173-XZPYF,89.2,11,Month-to-month,Fiber optic,No,90,High,0
1174-FGIFN,90.45,28,One year,Fiber optic,No,50,Medium,0
1184-PJVDB,79.95,10,Month-to-month,Fiber optic,Yes,80,High,0
1193-RTSLK,83.9,38,Month-to-month,Fiber optic,Yes,55,Medium,0
1194-HVAIF,95.0,27,Month-to-month,Fiber optic,No,70,Medium,0
1195-OIYEJ,91.1,13,Month-to-month,Fiber optic,Yes,80,High,0
1196-AMORA,73.6,7,Month-to-month,Fiber optic,Yes,80,High,0
1197-BVMVG,74.45,4,Month-to-month,Fiber optic,No,90,High,0
1200-TUZHR,85.2,8,Month-to-month,Fiber optic,No,90,High,0
1212-GLHMD,86.05,3,Month-to-month,Fiber optic,No,95,High,0
1215-FIGMP,89.9,60,Month-to-month,Fiber optic,No,70,Medium,0
1216-BGTSP,108.45,45,Month-to-month,Fiber optic,No,60,Medium,0
1216-JWVUX,75.5,25,Month-to-month,Fiber optic,No,60,Medium,0
1217-VASWC,100.55,43,One year,Fiber optic,No,55,Medium,0
1219-NNDDO,76.85,9,Month-to-month,Fiber optic,No,80,High,0
1226-IENZN,78.75,16,Month-to-month,Fiber optic,No,70,Medium,0
1228-FZFRV,105.95,50,Month-to-month,Fiber optic,Yes,65,Medium,0
1228-ZLNBX,75.3,21,Month-to-month,Fiber optic,No,70,Medium,0
1229-RCALF,115.0,64,One year,Fiber optic,No,45,Medium,0
1236-WFCDV,90.45,14,Month-to-month,Fiber optic,Yes,80,High,0
1251-STYSZ,80.25,4,Month-to-month,Fiber optic,No,85,High,0
1254-IZEYF,99.95,31,Month-to-month,Fiber optic,Yes,70,Medium,0
1258-YMZNM,110.5,27,One year,Fiber optic,No,50,Medium,0
1262-OPMFY,75.75,9,Month-to-month,Fiber optic,Yes,80,High,0
1264-BYWMS,96.8,55,Month-to-month,Fiber optic,Yes,70,Medium,0
1265-XTECC,96.55,68,One year,Fiber optic,Yes,50,Medium,0
1268-ASBGA,85.35,16,Month-to-month,Fiber optic,Yes,80,High,0
1273-MTETI,88.85,4,Month-to-month,Fiber optic,Yes,100,High,0
1285-OKIPP,79.9,1,Month-to-month,Fiber optic,Yes,90,High,0
1297-VQDRP,107.15,68,One year,Fiber optic,No,50,Medium,0
1302-UHBDD,89.95,20,Month-to-month,Fiber optic,No,80,High,0
1304-NECVQ,78.55,2,Month-to-month,Fiber optic,Yes,90,High,0
1307-ATKGB,89.55,24,Month-to-month,Fiber optic,No,80,High,0
1307-TVUFB,79.35,42,Month-to-month,Fiber optic,No,60,Medium,0
1309-BXVOQ,106.1,21,Month-to-month,Fiber optic,Yes,75,Medium,0
1319-YLZJG,84.6,12,Month-to-month,Fiber optic,No,75,Medium,0
1320-HTRDR,75.5,3,Month-to-month,Fiber optic,Yes,90,High,0
1320-REHCS,110.75,52,Month-to-month,Fiber optic,No,65,Medium,0
1323-OOEPC,98.4,53,Month-to-month,Fiber optic,Yes,70,Medium,0
1334-PDUKM,86.45,68,One year,Fiber optic,No,55,Medium,0
1335-HQMKX,101.35,72,One year,Fiber optic,No,55,Medium,0
1342-JPNKI,86.05,10,Month-to-month,Fiber optic,Yes,90,High,0
1343-EHPYB,103.4,63,Month-to-month,Fiber optic,Yes,70,Medium,0
1346-PJWTK,94.15,61,Month-to-month,Fiber optic,No,65,Medium,0
1346-UFHAX,80.0,13,Month-to-month,Fiber optic,No,65,Medium,0
1347-KTTTA,102.45,64,One year,Fiber optic,No,50,Medium,0
1357-BIJKI,98.25,50,One year,Fiber optic,No,55,Medium,0
1360-JYXKQ,99.1,54,One year,Fiber optic,No,50,Medium,0
1360-XFJMR,109.7,67,One year,Fiber optic,No,50,Medium,0
