customerID,MonthlyCharges,tenure,contract,InternetService,churn,risk_score,category
0133-BMFZO,86.2500,2,Month-to-month,"Fiber optic",Yes,90,High
0134-XWXCE,74.8500,44,"One year",DSL,No,35,Low
0135-NMXAP,89.7500,12,Month-to-month,"Fiber optic",Yes,90,High
0136-IFMYD,109.9500,69,"Two year","Fiber optic",No,35,Low
0137-OCGAB,80.2000,1,Month-to-month,"Fiber optic",Yes,90,High
0137-UDEUO,19.8500,3,Month-to-month,No,Yes,60,Medium
0139-IVFJG,90.3500,2,Month-to-month,"Fiber optic",No,95,High
0141-YEAYS,86.4500,27,Month-to-month,"Fiber optic",No,70,Medium
0142-GVYSN,20.3000,26,Month-to-month,No,No,30,Low
0147-ESWWR,101.2500,39,Month-to-month,"Fiber optic",No,65,Medium
0148-DCDOS,94.7000,25,Month-to-month,"Fiber optic",Yes,70,Medium
0151-ONTOV,70.9000,1,Month-to-month,"Fiber optic",Yes,90,High
0156-FVPTA,54.2000,22,Month-to-month,DSL,Yes,45,Medium
0164-APGRB,114.9000,72,"Two year","Fiber optic",No,30,Low
0164-XAIRP,19.5500,24,"Two year",No,No,10,Low
0168-XZKBB,86.8500,19,Month-to-month,"Fiber optic",No,80,High
0174-QRVVY,25.3500,71,"Two year",No,No,0,"Too low"
0177-PXBAT,109.9000,33,Month-to-month,"Fiber optic",No,60,Medium
0178-CIIKR,19.9500,3,Month-to-month,No,No,60,Medium
0178-SZBHO,87.2000,47,Month-to-month,"Fiber optic",No,70,Medium
0181-RITDD,108.1500,62,"Two year","Fiber optic",No,30,Low
0186-CAERR,116.3000,71,"One year","Fiber optic",No,45,Medium
0187-QSXOE,89.0000,7,Month-to-month,"Fiber optic",No,90,High
0187-WZNAB,74.4000,27,Month-to-month,"Fiber optic",No,55,Medium
0188-GWFLE,20.0500,2,Month-to-month,No,No,60,Medium
0191-EQUUH,35.0500,25,"Two year",DSL,No,5,"Too low"
0191-ZHSKZ,74.7500,30,Month-to-month,DSL,No,50,Medium
0193-ESZXP,105.5000,58,"One year","Fiber optic",Yes,45,Medium
0195-IESCP,85.2500,10,Month-to-month,"Fiber optic",Yes,90,High
0196-JTUQI,75.2000,9,Month-to-month,"Fiber optic",No,80,High
0196-VULGZ,84.3500,6,Month-to-month,"Fiber optic",Yes,90,High
0197-PNKNK,84.4500,69,"One year","Fiber optic",No,40,Medium
0201-MIBOL,102.4000,66,"Two year","Fiber optic",No,35,Low
0201-OAMXR,115.5500,70,"One year","Fiber optic",Yes,45,Medium
0203-HHYIJ,25.3000,25,"One year",No,Yes,15,Low
0206-OYVOC,19.2500,46,"Two year",No,No,0,"Too low"
0206-TBWLC,114.6500,54,"One year","Fiber optic",No,45,Medium
0207-MDKNV,105.1000,15,Month-to-month,"Fiber optic",Yes,70,Medium
0208-BPQEJ,19.4000,12,Month-to-month,No,No,50,Medium
0212-ISBBF,50.3500,22,Month-to-month,DSL,No,55,Medium
0214-JHPFW,57.8000,70,"Two year",DSL,No,10,Low
0215-BQKGS,84.3000,30,Month-to-month,"Fiber optic",No,55,Medium
0218-QNVAS,100.5500,71,"One year","Fiber optic",No,55,Medium
0219-QAERP,19.8000,30,"One year",No,No,15,Low
0219-YTZUE,84.8000,4,Month-to-month,"Fiber optic",Yes,90,High
0220-EBGCE,85.8500,2,Month-to-month,"Fiber optic",Yes,100,High
0221-NAUXK,19.9500,10,"One year",No,No,35,Low
0221-WMXNQ,75.3500,4,Month-to-month,"Fiber optic",No,85,High
0222-CNVPT,48.8000,52,Month-to-month,DSL,No,40,Medium
0224-HJAPT,47.1500,5,Month-to-month,DSL,Yes,75,Medium
0224-NIJLP,20.1500,8,"Two year",No,No,20,Low
0224-RLWWD,44.3000,2,Month-to-month,DSL,No,75,Medium
0225-ZORZP,84.3000,3,Month-to-month,"Fiber optic",No,90,High
0228-MAUWC,59.5500,19,Month-to-month,DSL,No,50,Medium
0229-LFJAF,69.6500,72,"Two year",DSL,No,15,Low
0230-UBYPQ,36.1000,63,"One year",DSL,No,20,Low
0230-WEQUW,56.6000,66,"Two year",DSL,No,5,"Too low"
0231-LXVAP,75.9000,1,Month-to-month,"Fiber optic",Yes,85,High
0233-FTHAV,79.2000,60,"One year","Fiber optic",No,45,Medium
0234-TEVTT,45.0000,48,"One year",DSL,No,25,Low
0235-KGSLC,85.5500,1,Month-to-month,"Fiber optic",Yes,100,High
0236-HFWSV,93.3500,15,Month-to-month,"Fiber optic",Yes,80,High
0237-YFUTL,109.6500,50,Month-to-month,"Fiber optic",No,60,Medium
0238-WHBIQ,89.7000,72,"Two year",DSL,No,25,Low
0239-OXEXL,84.2500,46,Month-to-month,"Fiber optic",No,55,Medium
0244-LGNFY,92.6500,72,"Two year",DSL,No,25,Low
0247-SLUJI,19.7000,1,Month-to-month,No,No,60,Medium
0248-IPDFW,50.1000,1,Month-to-month,DSL,No,75,Medium
0248-PGHBZ,92.4500,67,"Two year","Fiber optic",No,30,Low
0253-ZTEOB,79.6500,48,"Two year",DSL,No,20,Low
0254-FNMCI,109.9000,72,"Two year","Fiber optic",No,30,Low
0254-KCJGT,81.4000,52,"One year",DSL,No,30,Low
0254-WWRKD,50.5500,67,"One year",DSL,No,30,Low
0256-LTHVJ,81.0500,28,Month-to-month,"Fiber optic",Yes,60,Medium
0257-KXZGU,62.4500,32,Month-to-month,DSL,No,45,Medium
0257-ZESQC,75.2000,27,Month-to-month,"Fiber optic",Yes,55,Medium
0258-NOKBL,90.4000,3,Month-to-month,"Fiber optic",No,100,High
0259-GBZSH,85.6500,2,Month-to-month,"Fiber optic",Yes,100,High
0260-ZDLGK,72.9000,9,Month-to-month,DSL,Yes,70,Medium
0263-FJTQO,70.5000,50,"Two year",DSL,No,15,Low
0264-CNITK,20.1000,71,"Two year",No,No,0,"Too low"
0265-EDXBD,74.9000,32,Month-to-month,"Fiber optic",Yes,60,Medium
0265-PSUAE,100.7000,16,Month-to-month,"Fiber optic",No,75,Medium
0266-CLZKZ,105.6500,67,"Two year","Fiber optic",No,35,Low
0266-GMEAO,114.3000,72,"Two year","Fiber optic",No,30,Low
0268-QKIWO,19.7500,3,Month-to-month,No,Yes,60,Medium
0269-XFESX,24.3500,23,"One year",No,No,25,Low
0270-THENM,69.8500,72,"Two year",DSL,No,15,Low
0274-JKUJR,58.8500,7,Month-to-month,DSL,No,60,Medium
0277-BKSQP,54.4000,8,Month-to-month,DSL,No,65,Medium
0277-ORXQS,50.5500,66,"Two year",DSL,No,10,Low
0278-YXOOG,21.0500,5,Month-to-month,No,Yes,60,Medium
0280-XJGEX,103.7000,49,Month-to-month,"Fiber optic",Yes,70,Medium
0281-CNTZX,19.9500,63,"Two year",No,No,0,"Too low"
0282-NVSJS,29.3000,12,Month-to-month,DSL,No,60,Medium
0285-INHLN,54.7500,27,Month-to-month,DSL,No,40,Medium
0289-IVARM,60.5500,35,Month-to-month,DSL,No,40,Medium
0292-WEGCH,86.2000,54,Month-to-month,DSL,No,60,Medium
0295-PPHDO,95.4500,1,Month-to-month,"Fiber optic",Yes,100,High
0295-QVKPB,63.9500,5,Month-to-month,DSL,No,70,Medium
0297-RBCSG,65.3500,19,"One year",DSL,No,45,Medium
0298-XACET,50.2000,52,"Two year",DSL,No,10,Low
0301-FIDRB,63.8000,72,"Two year",DSL,No,5,"Too low"
0301-KOBTQ,20.0500,32,"Two year",No,No,0,"Too low"
0302-JOIVN,101.1500,8,Month-to-month,"Fiber optic",Yes,90,High
0303-UNCIP,65.0000,41,"One year",DSL,No,30,Low
0303-WMMRN,19.2500,5,Month-to-month,No,No,60,Medium
0305-SQECB,36.0500,11,"One year",DSL,No,40,Medium
0306-JAELE,96.1000,5,Month-to-month,"Fiber optic",Yes,95,High
0307-BCOPK,19.0500,16,"One year",No,No,25,Low
0308-GIQJT,105.7500,71,"One year","Fiber optic",No,50,Medium
0308-IVGOK,40.4000,11,"One year",DSL,No,45,Medium
0310-MVLET,99.1500,61,Month-to-month,"Fiber optic",Yes,70,Medium
0310-SUCIN,84.8000,71,"One year",DSL,No,30,Low
0310-VQXAM,19.8500,9,Month-to-month,No,No,50,Medium
0311-QYWSS,49.4500,6,Month-to-month,DSL,No,70,Medium
0311-UNPFF,88.8000,26,Month-to-month,"Fiber optic",Yes,70,Medium
0314-TKOSI,55.1500,6,Month-to-month,DSL,No,70,Medium
0315-LVCRK,84.8000,11,Month-to-month,"Fiber optic",No,80,High
0318-QUUOB,80.5500,1,Month-to-month,"Fiber optic",Yes,90,High
0318-ZOPWS,20.1500,49,"Two year",No,No,0,"Too low"
0319-QZTCO,58.7000,3,Month-to-month,DSL,No,75,Medium
0320-DWVTU,99.5000,53,"Two year","Fiber optic",No,30,Low
0320-JDNQG,99.8500,23,Month-to-month,"Fiber optic",Yes,70,Medium
0322-CHQRU,45.3500,2,Month-to-month,DSL,Yes,75,Medium
0322-YINQP,48.5500,1,Month-to-month,DSL,Yes,70,Medium
0323-XWWTN,26.4000,3,"Two year",No,No,30,Low
0324-BRPCJ,100.2000,68,Month-to-month,"Fiber optic",Yes,70,Medium
0325-XBFAC,94.7000,8,Month-to-month,"Fiber optic",Yes,90,High
0326-VDYXE,97.6500,70,"One year","Fiber optic",No,55,Medium
0327-WFZSY,100.0000,39,"One year","Fiber optic",No,55,Medium
0328-GRPMV,70.1000,1,Month-to-month,"Fiber optic",Yes,90,High
0329-GTIAJ,97.9000,3,Month-to-month,"Fiber optic",Yes,95,High
0330-BGYZE,102.5000,60,"One year","Fiber optic",No,55,Medium
0330-IVZHA,69.9500,5,Month-to-month,"Fiber optic",Yes,90,High
0334-GDDSO,81.3500,3,Month-to-month,"Fiber optic",Yes,90,High
0334-ZFJSR,66.0500,55,"One year",DSL,No,30,Low
0336-KXKFK,61.2000,72,"Two year",DSL,No,5,"Too low"
0336-PIKEI,74.4000,72,"Two year",DSL,No,15,Low
0337-CNPZE,106.3000,41,Month-to-month,"Fiber optic",Yes,70,Medium
0343-QLUZP,39.6000,60,"Two year",DSL,No,10,Low
0345-HKJVM,89.3000,6,Month-to-month,"Fiber optic",Yes,100,High
0345-XMMUG,108.9000,46,"Two year","Fiber optic",No,35,Low
0347-UBKUZ,19.9000,15,Month-to-month,No,No,40,Medium
0348-SDKOL,102.1000,58,Month-to-month,"Fiber optic",Yes,65,Medium
0354-VXMJC,19.6000,23,"Two year",No,No,10,Low
0354-WYROK,98.9000,31,Month-to-month,"Fiber optic",Yes,65,Medium
0356-ERHVT,45.9000,11,Month-to-month,DSL,No,65,Medium
0356-OBMAC,99.9000,56,"Two year","Fiber optic",No,35,Low
0357-NVCRI,20.0500,25,Month-to-month,No,No,30,Low
0361-HJRDX,64.3500,68,"Two year",DSL,No,5,"Too low"
0362-RAOQO,19.6500,40,"Two year",No,No,0,"Too low"
0362-ZBZWJ,84.9000,36,Month-to-month,"Fiber optic",Yes,60,Medium
0363-QJVFX,108.1500,32,Month-to-month,"Fiber optic",Yes,60,Medium
0363-SVHYR,86.8500,71,"Two year",DSL,No,25,Low
0365-BZUWY,102.5500,17,Month-to-month,"Fiber optic",No,80,High
0365-GXEZS,78.2000,18,Month-to-month,"Fiber optic",No,65,Medium
0365-TRTPY,91.2000,37,Month-to-month,"Fiber optic",No,65,Medium
0366-NQSHS,19.3500,2,Month-to-month,No,No,60,Medium
0369-ZGOVK,70.4000,28,"One year","Fiber optic",No,45,Medium
0373-AIVNJ,39.5500,9,"One year",DSL,No,45,Medium
0374-AACSZ,50.1500,1,Month-to-month,DSL,No,70,Medium
0374-FIUCA,20.4000,65,"Two year",No,No,0,"Too low"
0374-IOEGQ,44.6000,3,Month-to-month,DSL,No,75,Medium
0375-HVGXO,34.7000,1,Month-to-month,DSL,Yes,75,Medium
0376-OIWME,93.6000,36,Month-to-month,"Fiber optic",No,65,Medium
0376-YMCJC,90.6000,23,Month-to-month,"Fiber optic",Yes,75,Medium
0377-JBKKT,57.9500,22,Month-to-month,DSL,No,45,Medium
0378-CJKPV,112.1000,72,"Two year","Fiber optic",No,30,Low
0378-NHQXU,88.2500,17,Month-to-month,"Fiber optic",Yes,80,High
0378-TOVMS,85.8000,3,Month-to-month,"Fiber optic",Yes,95,High
0378-XSZPU,60.3000,58,"One year",DSL,Yes,25,Low
0379-DJQHR,81.3500,67,"Two year",DSL,No,20,Low
0380-NEAVX,99.8500,34,"One year","Fiber optic",No,55,Medium
0380-ZCSBI,20.0000,10,Month-to-month,No,No,50,Medium
0383-CLDDA,85.3500,69,"Two year",DSL,No,25,Low
0384-LPITE,62.0500,40,"One year",DSL,No,25,Low
0384-RVBPI,64.4000,20,Month-to-month,DSL,No,50,Medium
0386-CWRGM,19.4000,46,"Two year",No,No,0,"Too low"
0388-EOPEX,74.4000,2,Month-to-month,"Fiber optic",Yes,85,High
0390-DCFDQ,70.4500,1,Month-to-month,"Fiber optic",Yes,90,High
0392-BZIUW,105.0000,72,"Two year","Fiber optic",No,35,Low
0394-YONDK,25.1500,70,"Two year",No,No,0,"Too low"
0396-HUJBP,19.3000,2,Month-to-month,No,No,60,Medium
0396-UKGAI,55.3000,23,Month-to-month,DSL,No,50,Medium
0396-YCHWO,95.4000,36,Month-to-month,"Fiber optic",No,70,Medium
0397-GZBBC,93.8500,59,Month-to-month,"Fiber optic",Yes,70,Medium
0397-ZXWQF,20.5000,67,"Two year",No,No,0,"Too low"
0401-WDBXM,105.5500,72,"Two year","Fiber optic",No,35,Low
0402-CQAJN,101.9000,37,Month-to-month,"Fiber optic",Yes,70,Medium
0402-OAMEN,24.4500,72,"Two year",No,No,0,"Too low"
0404-AHASP,19.7000,72,"Two year",No,No,0,"Too low"
0404-SWRVG,74.4000,3,Month-to-month,"Fiber optic",Yes,90,High
0406-BPDVR,101.5000,54,"One year","Fiber optic",Yes,55,Medium
0407-BDJKB,95.7500,60,Month-to-month,"Fiber optic",Yes,70,Medium
0409-WTMPL,110.6500,58,"One year","Fiber optic",No,50,Medium
0410-IPFTY,83.8500,31,Month-to-month,"Fiber optic",No,60,Medium
0411-EZJZE,60.2500,3,Month-to-month,DSL,No,75,Medium
0412-UCCNP,59.2000,55,"Two year",DSL,No,5,"Too low"
0415-MOSGF,44.4000,1,Month-to-month,DSL,Yes,75,Medium
0419-YAAPX,85.3000,49,Month-to-month,"Fiber optic",No,70,Medium
0420-BWTPW,25.5000,8,Month-to-month,DSL,Yes,65,Medium
0420-HLGXF,99.7500,39,Month-to-month,"Fiber optic",No,70,Medium
0420-TXVSG,66.1000,66,"Two year",DSL,No,20,Low
0422-OHQHQ,20.5500,15,"One year",No,No,25,Low
0422-UXFAP,98.8500,51,"One year","Fiber optic",No,55,Medium
0423-UDIJQ,49.2000,9,Month-to-month,DSL,No,60,Medium
0426-TIRNE,20.9000,1,Month-to-month,No,Yes,60,Medium
0428-AXXLJ,19.5000,25,"One year",No,No,15,Low
0428-IKYCP,87.0000,22,Month-to-month,"Fiber optic",No,80,High
0430-IHCDJ,49.0000,15,Month-to-month,DSL,No,55,Medium
0431-APWVY,90.1000,28,"One year","Fiber optic",Yes,55,Medium
0432-CAJZV,90.7000,3,Month-to-month,"Fiber optic",No,100,High
0434-CSFON,100.5000,47,Month-to-month,"Fiber optic",No,70,Medium
0436-TWFFZ,85.2500,67,"Two year",DSL,No,25,Low
0439-IFYUN,74.7000,18,Month-to-month,"Fiber optic",No,70,Medium
0440-EKDCF,60.1500,62,"Two year",DSL,No,10,Low
0440-MOGPM,80.5500,41,"One year",DSL,No,40,Medium
0440-QEXBZ,50.1500,44,Month-to-month,DSL,No,45,Medium
0440-UEDAI,94.4500,53,"One year","Fiber optic",No,50,Medium
0442-TDYUO,20.0500,48,"Two year",No,No,0,"Too low"
0442-ZXKVS,115.6000,54,"One year","Fiber optic",No,45,Medium
0447-BEMNG,45.3000,48,Month-to-month,DSL,Yes,40,Medium
0447-RXSGD,99.6500,24,Month-to-month,"Fiber optic",No,80,High
0454-OKRCT,80.6000,33,"Two year","Fiber optic",No,25,Low
0455-ENTCR,85.2500,66,"Two year",DSL,No,25,Low
0455-XFASS,69.5500,3,Month-to-month,"Fiber optic",No,90,High
0458-HEUZG,35.4000,13,"Two year",DSL,No,20,Low
0459-SPZHJ,83.5000,63,"Two year",DSL,No,20,Low
0461-CVKMU,83.8000,23,Month-to-month,"Fiber optic",Yes,65,Medium
0463-TXOAK,25.6000,52,"Two year",No,No,0,"Too low"
0463-WZZKO,20.7500,3,Month-to-month,No,No,60,Medium
0463-ZSDNT,56.7500,10,Month-to-month,DSL,No,65,Medium
0464-WJTKO,20.1000,72,"Two year",No,No,0,"Too low"
0468-YRPXN,98.8000,29,Month-to-month,"Fiber optic",No,65,Medium
0471-ARVMX,104.8500,62,"One year","Fiber optic",No,50,Medium
0471-LVHGK,73.0000,41,"One year",DSL,Yes,40,Medium
0475-RIJEP,77.8500,43,Month-to-month,"Fiber optic",Yes,60,Medium
0479-HMSWA,105.4500,26,"Two year","Fiber optic",No,35,Low
0480-BIXDE,96.8000,19,Month-to-month,"Fiber optic",No,80,High
0480-KYJVA,24.2500,72,"Two year",No,No,0,"Too low"
0481-SUMCB,102.1500,45,"One year","Fiber optic",No,55,Medium
0484-FFVBJ,64.8500,32,"One year",DSL,No,30,Low
0484-JPBRU,25.2500,41,Month-to-month,No,No,30,Low
0485-ZBSLN,24.7500,65,"Two year",No,No,0,"Too low"
0486-HECZI,96.7500,55,Month-to-month,"Fiber optic",Yes,65,Medium
0486-LGCCH,19.6500,11,"Two year",No,No,20,Low
0487-CRLZF,74.4500,49,"Two year",DSL,No,20,Low
0487-RPVUM,99.4000,61,Month-to-month,"Fiber optic",No,60,Medium
0487-VVUVK,19.1500,25,Month-to-month,No,No,30,Low
0488-GSLFR,69.5000,1,Month-to-month,"Fiber optic",Yes,90,High
0489-WMEMG,49.4500,23,"One year",DSL,No,35,Low
0491-KAPQG,73.7000,21,Month-to-month,"Fiber optic",No,70,Medium
0495-RVCBF,79.7000,1,Month-to-month,"Fiber optic",Yes,90,High
0495-ZBNGW,79.9000,5,Month-to-month,"Fiber optic",Yes,90,High
0496-AHOOK,74.4000,24,"One year",DSL,No,40,Medium
0504-HHAPI,88.3000,27,Month-to-month,"Fiber optic",Yes,70,Medium
0505-SPOOW,19.8000,70,"Two year",No,No,0,"Too low"
0506-LVNGN,75.5500,5,Month-to-month,"Fiber optic",Yes,90,High
0506-YLVKJ,20.2000,46,"Two year",No,No,0,"Too low"
0508-OOLTO,71.6500,2,Month-to-month,"Fiber optic",No,90,High
0508-SQWPL,20.1000,57,"Two year",No,No,0,"Too low"
0511-JTEOY,71.1000,1,Month-to-month,"Fiber optic",Yes,90,High
0512-FLFDW,100.5000,60,"One year","Fiber optic",No,55,Medium
0513-RBGPE,62.8000,37,"Two year",DSL,No,5,"Too low"
0515-YPMCW,70.4500,1,Month-to-month,"Fiber optic",Yes,90,High
0516-OOHAR,100.3500,28,"One year","Fiber optic",No,55,Medium
0516-QREYC,20.3000,24,Month-to-month,No,No,40,Medium
0516-UXRMT,92.0500,62,"One year","Fiber optic",No,50,Medium
0516-VRYBW,20.1500,18,"One year",No,Yes,25,Low
0516-WJVXC,54.2000,5,Month-to-month,DSL,Yes,65,Medium
0519-DRGTI,20.3500,20,Month-to-month,No,No,40,Medium
0519-XUZJU,70.7500,1,Month-to-month,"Fiber optic",Yes,90,High
0520-FDVVT,102.3500,35,"One year","Fiber optic",Yes,55,Medium
0523-VNGTF,50.5000,52,Month-to-month,DSL,No,40,Medium
0524-IAVZO,85.0000,30,Month-to-month,"Fiber optic",Yes,60,Medium
0526-SXDJP,42.1000,72,"Two year",DSL,No,10,Low
0529-ONKER,75.6500,15,Month-to-month,"Fiber optic",Yes,70,Medium
0530-IJVDB,114.6000,70,"Two year","Fiber optic",No,30,Low
0531-XBKMM,65.7000,66,"Two year",DSL,No,15,Low
0531-ZZJWQ,74.0000,55,Month-to-month,"Fiber optic",No,60,Medium
0533-BNWKF,85.4500,55,Month-to-month,"Fiber optic",Yes,70,Medium
0533-UCAAU,71.1000,57,"One year",DSL,No,40,Medium
0536-ACXIP,109.5500,72,"Two year","Fiber optic",No,35,Low
0536-BGFMZ,20.5000,28,Month-to-month,No,No,30,Low
0536-ESJEP,74.5500,54,"Two year",DSL,No,20,Low
0537-QYZZN,79.8500,24,Month-to-month,"Fiber optic",No,65,Medium
0541-FITGH,62.1500,2,Month-to-month,DSL,No,70,Medium
0547-HURJB,21.0500,12,Month-to-month,No,No,50,Medium
0549-CYCQN,79.6000,51,"One year","Fiber optic",No,45,Medium
0550-DCXLH,73.3500,13,Month-to-month,DSL,No,60,Medium
0556-FJEGU,70.1000,58,"Two year",DSL,No,20,Low
0557-ASKVU,54.4000,18,"One year",DSL,No,35,Low
0559-CKHUS,19.5500,29,"Two year",No,No,0,"Too low"
0562-FGDCR,74.5500,72,"Two year",DSL,No,15,Low
0562-HKHML,23.9000,71,"Two year",No,No,0,"Too low"
0562-KBDVM,44.6000,70,"Two year",DSL,No,5,"Too low"
0564-JJHGS,95.5000,9,Month-to-month,"Fiber optic",Yes,90,High
0564-MUUQK,95.5000,20,Month-to-month,"Fiber optic",No,75,Medium
0565-IYCGT,78.6000,69,"One year",DSL,Yes,30,Low
0565-JUPYD,104.5000,63,"One year","Fiber optic",No,45,Medium
0567-GGCAC,61.4000,7,Month-to-month,DSL,No,60,Medium
0567-XRHCU,43.9500,69,"Two year",DSL,No,10,Low
0568-ONFPC,25.9000,5,Month-to-month,No,Yes,60,Medium
0570-BFQHT,80.5500,9,Month-to-month,"Fiber optic",No,80,High
0572-ZJKLT,99.6500,46,"Two year","Fiber optic",No,30,Low
0575-CUQOV,97.9500,60,"One year","Fiber optic",No,55,Medium
0576-WNXXC,95.5500,27,Month-to-month,"Fiber optic",Yes,70,Medium
0577-WHMEV,90.7000,16,Month-to-month,"Fiber optic",No,75,Medium
0578-SKVMF,83.3000,22,Month-to-month,"Fiber optic",Yes,70,Medium
0580-PIQHM,101.6000,41,"One year","Fiber optic",No,50,Medium
